1165642528332247041,2019-08-25 15:10:10,"b'@MariawanDede @LisaAmartatara3 @ChangeOrg_ID Bukan cuma hoax, tapi juga vaksin palsu...'",,,,b'',b'Mamad Mancung Ganteng',b'Annisa_Yacob',0,1
1165641875149053953,2019-08-25 15:07:34,b'Anti-khat dengan anti-vaksin ni orang yang sama ke? https://t.co/dpDzEiwfJA',,,,"b'Penang, Malaysia'",b'Yoe Parang',b'Kurochin98',0,0
1165640611577262080,2019-08-25 15:02:33,b'Ambil positip na weh gocek lawan...gocek kawan mah si etam kudu di vaksin meh terhindar https://t.co/cu4dGHXERu',,,,b'jl leuwigajah 165 tjimahi',b'vikingcimahipersib',b'vikingcimahifc',0,1
1165640402675744768,2019-08-25 15:01:43,"b'Dear ibu dokter @far_qur ini gimana laptop saya kena virus, dikasih vaksin apa yaaa?'",,,,b'Indonesia',b'Si ga Buta dari Gua Hantu',b'farfarah_',0,0
1165640065675980803,2019-08-25 15:00:22,"b'@rlbigbos @starxbuck @najaemgn @jaehyuwnt @bbyals Boro boro imunisasi, di ASI in juga gak , kita asi dari sapi langsung jim'",,,,b'#PAREFAMS FAKBOI THE60Z PELOR',b'H fakyol',b'fakyolganteng',1,0
1165635276170903552,2019-08-25 14:41:20,b'Studi: Vaksin HPV Bisa Cegah Kanker Secara Luas \xe2\x80\x93\xc2\xa0https://t.co/IMaUth74W1 https://t.co/Ur9Th7VTEU https://t.co/sMMEGTufrF',,,,b'',b'Masasih.id',b'masasih_id',0,0
1165635188665155586,2019-08-25 14:41:00,b'starlord pas kecil minta vitamin sama suntik vaksin polio dimana hayo????\n\ndi PosYondu',,,,b'',b'oh hi hoe',b'malu2funky',1,1
1165635091764146176,2019-08-25 14:40:36,b'@ikkech @FanBaseNakal Aku sudah vaksin kok rutin vaksin 6 bulan sekali jadi aman\xf0\x9f\xa4\xa1',,,,"b'Manhattan, NY \xf0\x9f\x94\x9e'",b'\xf0\x9d\x99\x86\xf0\x9d\x99\x9a\xf0\x9d\x99\xa3\xf0\x9d\x99\xa3\xf0\x9d\x99\x9a\xf0\x9d\x99\xa9\xf0\x9d\x99\x9d \xf0\x9d\x99\x92\xf0\x9d\x99\x96\xf0\x9d\x99\xa9\xf0\x9d\x99\xa8\xf0\x9d\x99\xa4\xf0\x9d\x99\xa3',b'nastydelirious',0,0
1165634955851915264,2019-08-25 14:40:04,b'btw gue besok kan imunisasi anying.',,,,b'jakarta.',b'talya.',b'machiattocs',0,0
1165633602631061505,2019-08-25 14:34:41,b'Ketemu hari selasa ya nak. Sekalian vaksin kedua. Doakan mamak udh sembuh flunyaa huhu. Rindu',,"Place(_api=<tweepy.api.API object at 0x000001CDC1520A58>, id='30ae96df5cbdf14d', url='https://api.twitter.com/1.1/geo/id/30ae96df5cbdf14d.json', place_type='admin', name='West Nusa Tenggara', full_name='West Nusa Tenggara, Indonesia', country_code='ID', country='Indonesia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001CDC1520A58>, type='Polygon', coordinates=[[[115.820981, -9.109656], [119.335809, -9.109656], [119.335809, -8.080054], [115.820981, -8.080054]]]), attributes={})",,b'Indonesia',b'saras\xf0\x9f\xa6\x88 #hiatus',b'saraswatidevina',0,0
1165631503599980544,2019-08-25 14:26:21,b'@QusairiFasa Coba pas lagi sakit Ke puskesmas berobat sendirian. Trus Ketemu mntan sama suaminya mau imunisasi anak. \n\nJudulnya: melase saiii...',,"Place(_api=<tweepy.api.API object at 0x000001CDC1520A58>, id='1f1226b90ad4867e', url='https://api.twitter.com/1.1/geo/id/1f1226b90ad4867e.json', place_type='city', name='Sukarame', full_name='Sukarame, Indonesia', country_code='ID', country='Indonesia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001CDC1520A58>, type='Polygon', coordinates=[[[105.248815, -5.404666], [105.3218083, -5.404666], [105.3218083, -5.3510287], [105.248815, -5.3510287]]]), attributes={})",,"b'Lampung, Indonesia'",b'Nani Setiani \xe2\x80\xbb',b'ninaninn',0,0
1165629921202294787,2019-08-25 14:20:04,b'@rahayuernii Yaa kasian bet w kaga di vaksin mbak :(',,"Place(_api=<tweepy.api.API object at 0x000001CDC1520A58>, id='eba0f2c360607091', url='https://api.twitter.com/1.1/geo/id/eba0f2c360607091.json', place_type='city', name='Mulyorejo', full_name='Mulyorejo, Indonesia', country_code='ID', country='Indonesia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001CDC1520A58>, type='Polygon', coordinates=[[[112.759361, -7.291163], [112.815489, -7.291163], [112.815489, -7.250005], [112.759361, -7.250005]]]), attributes={})",,b'',b'\xf0\x9d\x93\x90\xf0\x9d\x93\xbc\xf0\x9d\x93\xaa \xf0\x9d\x93\xaa\xf0\x9d\x93\xbb\xf0\x9d\x93\xad\xf0\x9d\x93\xb2\xf0\x9d\x93\xaa\xf0\x9d\x93\xb7\xf0\x9d\x93\xaa \xf0\x9d\x94\x80\xf0\x9d\x93\xaa\xf0\x9d\x93\xbb\xf0\x9d\x93\xad\xf0\x9d\x93\xb2',b'asaardiana96',0,0
