id,created_at,text,time_zone,place,coordinates,location,user_name,screen_name,retweet_count,favourite_count
1164940907193311232,2019-08-23 16:42:10,"b'Event kali ini kita ber patner, alias berpasang pasangan aja. Pasangannya di tentuin dari kami aja biar adil. Kami pilih acak.\n\nJadi, event kali ini berkaitan dengan zombie dan manusia. Dimana ada zombie terinfeksi yg dapat menularkan, manusia vaksin, dan manusia biasa'",,,,b'With 9 nannies',b'DIXON FAMS',b'DXNFAMS',0,0
1164940106395877377,2019-08-23 16:38:59,"b'@YohanesPatty2 Belum cukup umur masuk Twitter dia , Vaksin nya Gak lengkap waktu bayi \xf0\x9f\x98\x80\nKalo dia @SherlyAnnavita  ngomong dengan teman sebaya nya banyak yang percaya \xf0\x9f\x98\x80'",,,,b'',b'Datuak Mangkuto',b'datuakmangkuto',2,19
1164939437874114560,2019-08-23 16:36:20,"b'@salmark_ Bagitau ""saya anti vaksin""'",,,,b'',b'sabbae',b'sisturnature',0,0
1164939104376672256,2019-08-23 16:35:00,b'@x1_leaderhsw @X1ywhan Di vaksin atuh biar ga rabies\xf0\x9f\x98\xa9',,,,b'',b'bibul',b'qwonbi',0,0
1164937866578804737,2019-08-23 16:30:05,"b'Selain tanya calon soalan ttg anak dia 2 anak kau 2 total berapa, soalan ttg anti vaksin, soalan ttg flat atau bulat bumi. Kena tambah extra soalan ttg pedo apologists. https://t.co/eIVEAHlMA8'",,,,b'Kluang Malaysia',b'\xf0\x9f\x90\x9dBie \xf0\x9f\x90\x9d',b'bieha_n3',0,0
1164936623915589632,2019-08-23 16:25:09,b'@digeeembok Vaksin monyong',,,,b'Indonesia',b'Tampias',b'dennoz777',0,0
1164935882345893891,2019-08-23 16:22:12,b'@digeeembok Hahahaha... Udah di vaksin kok si @SherlyAnnavita  ini dia contoh anak yang pake Vaksin Palsu \xf0\x9f\x98\x80',,,,b'Indonesia',b'Gondo bin Ruwo',b'Masgondobinruwo',0,0
1164934132347990017,2019-08-23 16:15:15,b'@digeeembok Vaksin air tazin mungkin',,,,b'Indonesia',b'D.J',b'DJBhinneka',0,0
1164931671751155718,2019-08-23 16:05:28,b'@baThher_suhaimi Tishu sebelum kahwin selain tanya dia dh vaksin atau flatearther ke. Kena tanya pandai buat kopi tak. \nTak pasal pasal nanti kna belajar jurus ninja.',,,,b'',b'aanbieber',b'Atomen_',0,2
1164930624022405121,2019-08-23 16:01:18,b'@NoWiwiNoWowo @VIVAcoid lah minyak babi bisa jd vaksin biar lu kuat naik haji  \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 dungu',,,,b'',b'BACOTWARGANET',b'BacotWarganet',0,0
1164927044754403328,2019-08-23 15:47:05,b'@digeeembok Di vaksin Parvo ma Distemper\nTapi lupa di ulang\n\n\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',,,,b'',b'SetanKo83r',b'Setanko83r',0,1
1164926441215021056,2019-08-23 15:44:41,b'Aku masih takleh brain dengan spesis yang anti vaksin dan spesis yang mudahkan maafkan pedo ni.',,,,b'',b'\xec\x95\x84\xed\x94\xbc\xea\xb0\x80',b'afikahhashim',0,0
1164925770319269888,2019-08-23 15:42:01,"b""@Jhonkosmik @HarryRidwan_Ay @LenteraMalam8 @Imad_kun @QiraniAyara - tentang ibu-ibu zaman sekarang yang merelakan anak-anaknya diracun vaksin,\n- tentang sistem ekonomi yang lemah yang dianut sebuah pemerintahan (negeri ini khususnya) \n- dan lain-lain sebagainya.. \n\nsemua ada penjelasannya dalam Al-Qur'an""",,,,b'\xe2\x80\x8f\xe2\x80\x8f\xe2\x80\x8e\xe2\xa0\x80\n\xe2\xa0\x80\n\xe2\xa0\x80\n\xe2\xa0\x80\n\xe2\xa0\x80\n\xe2\xa0\x80\n\xe2\xa0\x80\n\xe2\xa0\x80\n\xe2\xa0\x80\n\xe2\xa0\x80\n\xe2\xa0\x80\n\xe2\xa0\x80\n\n\n\xe2\xa0\x80',b'\xe1\xb4\x84\xc9\xaa\xe1\xb4\x84\xe1\xb4\x87\xe1\xb4\x8d\xe1\xb4\x98\xe1\xb4\x80\xca\x9f\xe1\xb4\x80',b'cempala',4,5
1164924176643194883,2019-08-23 15:35:41,b'@Eve_JKT48 Imunisasi?',,,,b'',b'Dwiki Wildan',b'dwikiwild',0,0
1164922508476239873,2019-08-23 15:29:03,"b'@fahmimustaffa Tulah, yang tak tahu vaksin tu apa kita boleh educate lagi yang anti ni payah sikit. Macam2 dugaan lah nak cari jodoh ni \xf0\x9f\x98\xa9\xf0\x9f\x98\x82'",,,,b'',b'\xd9\x83\xd8\xa7\xd9\x83\xd9\x8a \xda\xa4\xd9\x86\xd8\xaf\xd9\x8a\xd9\x83',b'ItsMeLeeyzs',0,1
1164921485632233472,2019-08-23 15:25:00,b'@ItsMeLeeyzs Belum masuk guys yang anti vaksin lagi \xf0\x9f\x98\x81\xf0\x9f\x98\xab\xf0\x9f\x98\xab\xf0\x9f\x98\xab',,,,b'',b'Pami',b'fahmimustaffa',0,2
1164920883153997827,2019-08-23 15:22:36,b'Babinsa  Koramil 10/Prembun Sertu Bed Hendri melaksanakan pendampingan dalam rangka kegiatan imunisasi TD dan DT bersama Dinas Kesehatan Puskesmas Prembun bertempat di SD N 3 Tersobo Kec.Prembun. https://t.co/hffFykK8fe',,,,"b'Panjer,Kebumen'",b'KODIM 0709/KEBUMEN',b'0709Kodim',0,1
1164920241404571649,2019-08-23 15:20:03,b'@tentangga bagi vaksin nya bisa tuh',,,,b'',b'Krystal',b'christjung',0,0
1164920113469935616,2019-08-23 15:19:32,b'Baru inget belom vaksin TT wkwk',,,,b'',b'bolen.',b'leniherlina_',0,0
1164919949061607424,2019-08-23 15:18:53,b'@jhoseok____ tiba2 erm entahla ye \xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94 kena rujuk yang arif. kah3 yang pasti kita tetap vaksin lah. ermermerm',,,,b'Ireland',b'Ebitibiti',b'Adorawiyah',0,0
1164918052070105093,2019-08-23 15:11:21,b'@Katafiky Soalnya gak ikut vaksin campak',,,,"b'Banyuwangi,Jawa Timur'",b'Adityafvk',b'adityadwikrnwn',0,0
1164917727481348098,2019-08-23 15:10:04,"b'Tingkatkan Mutu, 137 Siswa SD Muhammadiyah 1 Ketelan Jalani Imunisasi Campak https://t.co/jSNczRykPp https://t.co/smVkzN6TlL'",,,,"b'Semarang, Jawa Tengah'",b'Radio PWM Jateng',b'jmradioid',0,0
1164917509524299777,2019-08-23 15:09:12,"b'Abis screening ada imunisasi. Disuntik ya pada rewo2 semua ni bocah2. Rewel. Drama. Yg cowok2 ""aku nggak mau disuntik kalau nggak dipeluk mbaknya""\nyeeee sa ae lu bocil'",,,,b'batas suci',b'Lelygaga',b'asoleley',3,1
1164917373083635713,2019-08-23 15:08:39,"b'Bila dah start satu penyakit tu, penyakit tu je la yang mostly patients kena. Sebab apa? Sebab duit. Sebab tu dorang buat vaksin. And mostly penyakit ni semua yang boleh bawa maut guys. Kau takde duit. Kau mati, kau ada. Selamat la. Tapi ajal maut semua dekat tangan tuhan.'",,,,b'',b'cinta fifi',b'impeanutss',1,6
1164916258325667840,2019-08-23 15:04:13,"b'Dorang sebarkan virus ni untuk hapuskan separuh atau lebih populasi manusia dalam dunia ni. Tapi dalam masa sama. Dia cipta chip hitam kecik tu untuk orang yang bayar dan beli, biar dorang tak terkena virus tu. So kita boleh kata chip tu as? Ye vaksin.'",,,,b'',b'cinta fifi',b'impeanutss',0,8
1164916169242886144,2019-08-23 15:03:52,b'Korang boleh amik contoh dari cerita ni untuk bagitahu apa kena mengena vaksin ni. Richmond valentine ni dia bagi simcard percuma untuk semua orang kan? Simcard ni macam virus.',,,,b'',b'cinta fifi',b'impeanutss',0,7
1164915766778454016,2019-08-23 15:02:16,"b'Yang amik vaksin ni pula, dorang dah standby cegah bende ni awal awal. Sebab nak elak kena penyakit semua ni lah.'",,,,b'',b'cinta fifi',b'impeanutss',0,4
1164915686222622720,2019-08-23 15:01:57,"b'Tapi orang yang anti vaksin ni dia bukan tolak vaksin buta buta, dorang masih amalkan permakanan sihat, jaga kesihatan semua. Dorang struggle juga, lagilah dalam dunia makin banyak penyakit sekarang. dorang tetap usaha, tetap doa, tetap tawakal.'",,,,b'',b'cinta fifi',b'impeanutss',0,3
1164915597496315905,2019-08-23 15:01:36,"b'Actually dua dua pihak betul, jangan ketawakan orang yang amik vaksin dan jangan ketawakan orang yang anti vaksin. Sebab kita semua ada pendapat kita sendiri tentang bende ni.'",,,,b'',b'cinta fifi',b'impeanutss',0,4
1164915484136882178,2019-08-23 15:01:09,"b'So berbalik pada topic. ""Vaksin"" kita semua tahu vaksin ni satu topic yang sangat sensitive. Sampaikan masuk tv3 tentang penerangan vaksin dan anti vaksin ni.'",,,,b'',b'cinta fifi',b'impeanutss',0,3
1164915281631698947,2019-08-23 15:00:20,"b'Assalamualaikum dan selamat malam, okay now aku nak share dekat korang apa kena mengena vaksin dengan dunia kita yang sekarang.'",,,,b'',b'cinta fifi',b'impeanutss',52,62
1164915055797796864,2019-08-23 14:59:27,"b'@nurithadianti Kalo dilombok yaa ada yang lebih murah taa, cuman kan pelayanan yg didapet gak semaksimal lab kelas atasnya, alat yg dipake gak sebagus mereka\xf0\x9f\x98\x85\xf0\x9f\x98\x85 klo vaksin hepatitis baru aku tau cuman di lab hepatika biasanya'",,,,"b'Selong, Lombok Timur'",b'anti',b'Uliya_173',0,0
1164914984654188547,2019-08-23 14:59:10,b'Vaksinasi berguna untuk menjaga kesehatan kucing dan menghindari dari berbagai penyakit.',,,,b'Diataskepalamu^^',b'Info Kucing',b'InfoMeong',0,0
1164914659448635392,2019-08-23 14:57:52,b'@digeeembok Vaksin nya palsu',,,,b'west java',b'p i t a l o k a',b'sudrajatasep17',0,0
1164911712291569665,2019-08-23 14:46:09,"b""@nurithadianti Hahaha bohh iya prodia\xf0\x9f\x98\x82 apalagi ditambah vaksin :')))))""",,,,"b'Selong, Lombok Timur'",b'anti',b'Uliya_173',0,0
1164910709186023424,2019-08-23 14:42:10,"b'Guys, yahudi xpenat ke... dia buat upin ipin, dia create vaksin, dia cipta cerita pasal pedo untuk bolak balikkan negara. Come on Yahudi, stop it already.'",,,,"b'Tebrau, Johor'",b'Amethyst',b'sillylyna',0,0
1164910417321197568,2019-08-23 14:41:01,b'Imunisasi apa implan sih mbah? https://t.co/GYZpxqlXHq',,,,b'Yemen',b'Abi J',b'araabkw',0,0
1164906913739362304,2019-08-23 14:27:05,b'@RizkyAdhyvi Kenapa kok imunisasi.?',,,,"b'Purwodadi, Indonesia'",b'sautaka.amiqi',b'Sautaka2',0,0
1164906536566583297,2019-08-23 14:25:35,b'@Sautaka2 Taka sudah imunisasi ?',,,,"b'Blitar, Jawa Timur'",b'Rizkyadhyv',b'RizkyAdhyvi',0,0
1164905696892088320,2019-08-23 14:22:15,"b'@HanifHaiqalll ""Saya tak ambik vaksin""'",,,,"b'Perak, Malaysia'",b'Ceyyah',b'Yeyuyeeenot',0,1
1164903307174764544,2019-08-23 14:12:45,"b'Tiap nyapa 2 kucing aing, selalu bilang ""hello gentlemen!"" sama mereka. Terus pas mama liat, doi ngasih muka seolah2 bilang \'ni anak salah dikasih vaksin waktu bocah atau emang kelainan ya?\''",,,,b'',b'\xf0\x9d\x9a\x9b\xf0\x9d\x9a\x8e\xf0\x9d\x9a\x9b\xf0\x9d\x9a\x8e',b'rockalibra',0,0
1164901028828868608,2019-08-23 14:03:42,"b'@Druginesia @infomalang Alhamdulillah klo beliau msh sehat2 selalu\nDokter anakku msh bayi dl, beliau yg saranin selain imunisasi lengkap ada juga tambahan yg diperlukan utk bayi. Skrg anakku udah kls 3 SMA'",,,,"b'\xc3\x9cT: -7.94399,112.624655'",b'IndiIndi_235',b'IndiIndi235',0,0
